,Activo,D,C&P,Día,Fecha / Hora,Fecha / Hora de Cierre,T. Op,Dia LIVE,Tiempo D/R,Deposito,Retiro,#Cont,STRK Buy,STRK Sell,Profit,% Profit. Op,Profit Tot.,DD/Max,Profit T.,IV Rank,% Alcanzado,Profit Alcanzado,% Media,Profit Media,Objetividad 0-10,Fotos,Notas,#
215,SPY,3d,CALL,Mi,2025-05-07T19:18:19.000,2025-05-07T19:18:19.000,00h 00m,,,,,1,60,120,60,100.00%,3775,1.62%,1.62%,,,1000.00,,1000.00,,,,215
214,SPY,3d,PUT,Mi,2025-05-07T19:18:06.000,2025-05-07T19:18:06.000,00h 00m,,,,,1,60,120,60,100.00%,3715,0.00%,1.64%,,,1000.00,,1000.00,,,,214
213,SPY,3d,CALL,Mi,2025-05-07T19:18:02.000,2025-05-07T19:18:02.000,00h 00m,,,,,1,60,0,-60,-100.00%,3655,-1.62%,-1.62%,,,1000.00,,1000.00,,,,213
212,SPY,3d,PUT,Mi,2025-05-07T19:17:55.000,2025-05-07T19:17:55.000,00h 00m,,,,,1,60,120,60,100.00%,3715,0.00%,1.64%,,,1000.00,,1000.00,,,,212
211,SPY,3d,CALL,Mi,2025-05-07T01:04:55.000,2025-05-07T01:04:55.000,00h 00m,,,,,1,60,30,-30,-50.00%,3655,-0.81%,-0.81%,,,1000.00,,1000.00,,,,211
210,SPY,3d,CALL,Mi,2025-05-07T01:02:44.000,2025-05-07T01:02:44.000,00h 00m,,,,,1,60,90,30,50.00%,3685,0.82%,0.82%,,,1000.00,,1000.00,,,,210
209,SPY,3d,CALL,Mi,2025-05-07T01:00:34.000,2025-05-07T01:00:34.000,00h 00m,,,,,1,60,120,60,100.00%,3655,0.00%,1.67%,,,1000.00,,1000.00,,,,209
208,SPY,3d,CALL,Mi,2025-05-07T00:58:14.000,2025-05-07T00:58:14.000,00h 00m,,,,,1,60,60,0,0.00%,3595,-1.64%,0%,,,1000.00,,1000.00,,,,208
207,SPY,3d,CALL,Mi,2025-05-07T00:55:49.000,2025-05-07T00:55:49.000,00h 00m,,,,,1,60,120,60,100.00%,3595,-1.64%,1.70%,,,1000.00,,1000.00,,,,207
206,SPY,3d,PUT,Mi,2025-05-07T00:55:44.000,2025-05-07T00:55:44.000,00h 00m,,,,,1,60,120,60,100.00%,3535,-3.28%,1.73%,,,1000.00,,1000.00,,,,206
205,SPY,3d,CALL,Mi,2025-05-07T00:55:42.000,2025-05-07T00:55:42.000,00h 00m,,,,,1,60,0,-60,-100.00%,3475,-4.92%,-1.70%,,,1000.00,,1000.00,,,,205
204,SPY,3d,PUT,Mi,2025-05-07T00:53:59.000,2025-05-07T00:53:59.000,00h 00m,,,,,1,60,120,60,100.00%,3535,-3.28%,1.73%,,,1000.00,,1000.00,,,,204
203,SPY,3d,CALL,Mi,2025-05-07T00:53:27.000,2025-05-07T00:53:27.000,00h 00m,,,,,1,60,0,-60,-100.00%,3475,-4.92%,-1.70%,,,1000.00,,1000.00,,,,203
202,SPY,3d,CALL,Mi,2025-05-07T00:53:23.000,2025-05-07T00:53:23.000,00h 00m,,,,,1,60,0,-60,-100.00%,3535,-3.28%,-1.67%,,,1000.00,,1000.00,,,,202
201,SPY,3d,CALL,Mi,2025-05-07T00:52:02.000,2025-05-07T00:52:02.000,00h 00m,,,,,1,60,0,-60,-100.00%,3595,-1.64%,-1.64%,,,1000.00,,1000.00,,,,201
200,SPY,3d,PUT,Mi,2025-05-07T00:50:32.000,2025-05-07T00:50:32.000,00h 00m,,,,,1,60,120,60,100.00%,3655,5.96%,1.67%,,,1000.00,,1000.00,,,,200
199,SPY,3d,CALL,Mi,2025-05-07T00:48:50.000,2025-05-07T00:48:50.000,00h 00m,,,,,1,60,90,30,50.00%,3595,4.30%,0.84%,,,1000.00,,1000.00,,,,199
198,SPY,3d,CALL,Mi,2025-05-07T00:48:08.000,2025-05-07T00:48:08.000,00h 00m,,,,,1,60,120,60,100.00%,3565,3.45%,1.71%,,,1000.00,,1000.00,,,,198
197,SPY,3d,PUT,Ma,2025-05-06T17:55:09.000,2025-05-06T17:55:09.000,00h 00m,,,,,1,60,120,60,100.00%,3505,1.74%,1.74%,,,1000.00,,1000.00,,,,197
196,SPY,3d,PUT,Ma,2025-05-06T17:55:04.000,2025-05-06T17:55:04.000,00h 00m,,,,,1,60,60,0,0.00%,3445,0.00%,0%,,,1000.00,,1000.00,,,,196
195,SPY,3d,PUT,Ma,2025-05-06T17:54:37.000,2025-05-06T17:54:37.000,00h 00m,,,,,1,60,120,60,100.00%,3445,1.77%,1.77%,,,1000.00,,1000.00,,,,195
194,SPY,3d,PUT,Ma,2025-05-06T17:54:29.000,2025-05-06T17:54:29.000,00h 00m,,,,,1,60,60,0,0.00%,3385,0.00%,0%,,,1000.00,,1000.00,,,,194
193,SPY,3d,CALL,Ma,2025-05-06T17:54:18.000,2025-05-06T17:54:18.000,00h 00m,,,,,1,60,120,60,100.00%,3385,0.00%,1.80%,,,1000.00,,1000.00,,,,193
192,SPY,3d,CALL,Ma,2025-05-06T17:54:07.000,2025-05-06T17:54:07.000,00h 00m,,,,,1,60,120,60,100.00%,3325,-1.77%,1.84%,,,1000.00,,1000.00,,,,192
191,SPY,3d,PUT,Ma,2025-05-06T17:53:47.000,2025-05-06T17:53:47.000,00h 00m,,,,,1,60,0,-60,-100.00%,3265,-3.55%,-1.80%,,,1000.00,,1000.00,,,,191
190,SPY,3d,PUT,Ma,2025-05-06T17:53:43.000,2025-05-06T17:53:43.000,00h 00m,,,,,1,60,0,-60,-100.00%,3325,-1.77%,-1.77%,,,1000.00,,1000.00,,,,190
189,SPY,3d,PUT,Ma,2025-05-06T17:53:24.000,2025-05-06T17:53:24.000,00h 00m,,,,,1,60,120,60,100.00%,3385,3.64%,1.80%,,,1000.00,,1000.00,,,,189
188,SPY,3d,CALL,Ma,2025-05-06T17:52:44.000,2025-05-06T17:52:44.000,00h 00m,,,,,1,60,120,60,100.00%,3325,1.84%,1.84%,,,1000.00,,1000.00,,,,188
187,SPY,3d,PUT,Ma,2025-05-06T17:52:37.000,2025-05-06T17:52:37.000,00h 00m,,,,,1,60,120,60,100.00%,3265,0.00%,1.87%,,,1000.00,,1000.00,,,,187
186,SPY,3d,CALL,Ma,2025-05-06T17:52:34.000,2025-05-06T17:52:34.000,00h 00m,,,,,1,60,0,-60,-100.00%,3205,-1.84%,-1.84%,,,1000.00,,1000.00,,,,186
185,SPY,3d,CALL,Ma,2025-05-06T17:50:51.000,2025-05-06T17:50:51.000,00h 00m,,,,,1,60,120,60,100.00%,3265,3.78%,1.87%,,,1000.00,,1000.00,,,,185
184,SPY,3d,PUT,Ma,2025-05-06T17:50:36.000,2025-05-06T17:50:36.000,00h 00m,,,,,1,60,120,60,100.00%,3205,1.91%,1.91%,,,1000.00,,1000.00,,,,184
183,SPY,3d,CALL,Ma,2025-05-06T17:50:33.000,2025-05-06T17:50:33.000,00h 00m,,,,,1,60,60,0,0.00%,3145,0.00%,0%,,,1000.00,,1000.00,,,,183
182,SPY,3d,PUT,Ma,2025-05-06T17:50:22.000,2025-05-06T17:50:22.000,00h 00m,,,,,1,60,120,60,100.00%,3145,1.94%,1.94%,,,1000.00,,1000.00,,,,182
181,SPY,3d,CALL,Ma,2025-05-06T17:50:14.000,2025-05-06T17:50:14.000,00h 00m,,,,,1,60,120,60,100.00%,3085,0.00%,1.98%,,,1000.00,,1000.00,,,,181
180,SPY,3d,CALL,Ma,2025-05-06T17:50:04.000,2025-05-06T17:50:04.000,00h 00m,,,,,1,60,60,0,0.00%,3025,-1.94%,0%,,,1000.00,,1000.00,,,,180
179,SPY,3d,PUT,Ma,2025-05-06T17:49:58.000,2025-05-06T17:49:58.000,00h 00m,,,,,1,30,60,30,100.00%,3025,-1.94%,1.00%,,,1000.00,,1000.00,,,,179
178,SPY,3d,CALL,Ma,2025-05-06T17:49:53.000,2025-05-06T17:49:53.000,00h 00m,,,,,1,30,60,30,100.00%,2995,-2.92%,1.01%,,,1000.00,,1000.00,,,,178
177,SPY,3d,CALL,Ma,2025-05-06T17:49:50.000,2025-05-06T17:49:50.000,00h 00m,,,,,1,60,0,-60,-100.00%,2965,-3.89%,-1.98%,,,1000.00,,1000.00,,,,177
176,SPY,3d,CALL,Ma,2025-05-06T17:49:46.000,2025-05-06T17:49:46.000,00h 00m,,,,,1,60,0,-60,-100.00%,3025,-1.94%,-1.94%,,,1000.00,,1000.00,,,,176
175,SPY,3d,CALL,Ma,2025-05-06T17:48:40.000,2025-05-06T17:48:40.000,00h 00m,,,,,1,60,120,60,100.00%,3085,1.98%,1.98%,,,1000.00,,1000.00,,,,175
174,SPY,3d,CALL,Ma,2025-05-06T17:47:31.000,2025-05-06T17:47:31.000,00h 00m,,,,,1,60,60,0,0.00%,3025,0.00%,0%,,,1000.00,,1000.00,,,,174
173,SPY,3d,CALL,Lu,2025-05-05T22:19:27.000,2025-05-05T22:19:27.000,00h 00m,,,,,1,30,60,30,100.00%,3025,1.00%,1.00%,,,1000.00,,1000.00,,,,173
172,SPY,3d,CALL,Lu,2025-05-05T22:18:13.000,2025-05-05T22:18:13.000,00h 00m,,,,,1,30,30,0,0.00%,2995,0.00%,0%,,,1000.00,,1000.00,,,,172
171,SPY,3d,PUT,Lu,2025-05-05T22:14:01.000,2025-05-05T22:14:01.000,00h 00m,,,,,1,30,60,30,100.00%,2995,0.00%,1.01%,,,1000.00,,1000.00,,,,171
170,SPY,3d,CALL,Lu,2025-05-05T22:13:58.000,2025-05-05T22:13:58.000,00h 00m,,,,,1,30,0,-30,-100.00%,2965,-1.00%,-1.00%,,,1000.00,,1000.00,,,,170
169,SPY,3d,CALL,Lu,2025-05-05T22:12:35.000,2025-05-05T22:12:35.000,00h 00m,,,,,1,30,30,0,0.00%,2995,0.00%,0%,,,1000.00,,1000.00,,,,169
168,SPY,3d,CALL,Lu,2025-05-05T22:10:42.000,2025-05-05T22:10:42.000,00h 00m,,,,,1,30,30,0,0.00%,2995,0.00%,0%,,,1000.00,,1000.00,,,,168
167,SPY,3d,CALL,Lu,2025-05-05T22:10:16.000,2025-05-05T22:10:16.000,00h 00m,,,,,1,30,60,30,100.00%,2995,1.52%,1.01%,,,1000.00,,1000.00,,,,167
166,SPY,3d,PUT,Lu,2025-05-05T22:09:19.000,2025-05-05T22:09:19.000,00h 00m,,,,,1,30,45,15,50.00%,2965,0.51%,0.51%,,,1000.00,,1000.00,,,,166
165,SPY,3d,CALL,Lu,2025-05-05T22:09:15.000,2025-05-05T22:09:15.000,00h 00m,,,,,1,30,30,0,0.00%,2950,0.00%,0%,,,1000.00,,1000.00,,,,165
164,SPY,3d,CALL,Lu,2025-05-05T22:07:43.000,2025-05-05T22:07:43.000,00h 00m,,,,,1,30,45,15,50.00%,2950,0.00%,0.51%,,,1000.00,,1000.00,,,,164
163,SPY,3d,CALL,Lu,2025-05-05T22:04:11.000,2025-05-05T22:04:11.000,00h 00m,,,,,1,30,60,30,100.00%,2935,-0.51%,1.03%,,,1000.00,,1000.00,,,,163
162,SPY,3d,CALL,Lu,2025-05-05T22:02:04.000,2025-05-05T22:02:04.000,00h 00m,,,,,1,30,0,-30,-100.00%,2905,-1.53%,-1.02%,,,1000.00,,1000.00,,,,162
161,SPY,3d,PUT,Lu,2025-05-05T22:01:51.000,2025-05-05T22:01:51.000,00h 00m,,,,,1,30,15,-15,-50.00%,2935,-0.51%,-0.51%,,,1000.00,,1000.00,,,,161
160,SPY,3d,CALL,Lu,2025-05-05T21:58:38.000,2025-05-05T21:58:38.000,00h 00m,,,,,1,30,60,30,100.00%,2950,3.11%,1.03%,,,1000.00,,1000.00,,,,160
159,SPY,3d,CALL,Lu,2025-05-05T21:56:45.000,2025-05-05T21:56:45.000,00h 00m,,,,,1,30,60,30,100.00%,2920,2.09%,1.04%,,,1000.00,,1000.00,,,,159
158,SPY,3d,CALL,Lu,2025-05-05T21:54:14.000,2025-05-05T21:54:14.000,00h 00m,,,,,1,30,60,30,100.00%,2890,1.05%,1.05%,,,1000.00,,1000.00,,,,158
157,SPY,3d,PUT,Lu,2025-05-05T21:53:29.000,2025-05-05T21:53:29.000,00h 00m,,,,,1,30,60,30,100.00%,2860,0.00%,1.06%,,,1000.00,,1000.00,,,,157
156,SPY,3d,CALL,Lu,2025-05-05T21:53:03.000,2025-05-05T21:53:03.000,00h 00m,,,,,1,30,30,0,0.00%,2830,-0.53%,0%,,,1000.00,,1000.00,,,,156
155,SPY,3d,PUT,Lu,2025-05-05T21:51:50.000,2025-05-05T21:51:50.000,00h 00m,,,,,1,30,60,30,100.00%,2830,-0.53%,1.07%,,,1000.00,,1000.00,,,,155
154,SPY,3d,CALL,Lu,2025-05-05T21:51:38.000,2025-05-05T21:51:38.000,00h 00m,,,,,1,30,0,-30,-100.00%,2800,-1.58%,-1.06%,,,1000.00,,1000.00,,,,154
153,SPY,3d,CALL,Lu,2025-05-05T21:50:22.000,2025-05-05T21:50:22.000,00h 00m,,,,,1,30,30,0,0.00%,2830,-0.53%,0%,,,1000.00,,1000.00,,,,153
152,SPY,3d,PUT,Lu,2025-05-05T21:49:17.000,2025-05-05T21:49:17.000,00h 00m,,,,,1,30,15,-15,-50.00%,2830,-0.53%,-0.53%,,,1000.00,,1000.00,,,,152
151,SPY,3d,CALL,Lu,2025-05-05T21:49:14.000,2025-05-05T21:49:14.000,00h 00m,,,,,1,30,30,0,0.00%,2845,0.00%,0%,,,1000.00,,1000.00,,,,151
150,SPY,3d,PUT,Lu,2025-05-05T21:45:39.000,2025-05-05T21:45:39.000,00h 00m,,,,,1,30,60,30,100.00%,2845,2.14%,1.07%,,,1000.00,,1000.00,,,,150
149,SPY,3d,CALL,Lu,2025-05-05T21:45:05.000,2025-05-05T21:45:05.000,00h 00m,,,,,1,30,60,30,100.00%,2815,1.08%,1.08%,,,1000.00,,1000.00,,,,149
148,SPY,3d,CALL,Lu,2025-05-05T21:42:05.000,2025-05-05T21:42:05.000,00h 00m,,,,,1,30,45,15,50.00%,2785,0.00%,0.54%,,,1000.00,,1000.00,,,,148
147,SPY,3d,PUT,Lu,2025-05-05T21:41:07.000,2025-05-05T21:41:07.000,00h 00m,,,,,1,30,60,30,100.00%,2770,-0.54%,1.09%,,,1000.00,,1000.00,,,,147
146,SPY,3d,CALL,Lu,2025-05-05T21:40:50.000,2025-05-05T21:40:50.000,00h 00m,,,,,1,30,30,0,0.00%,2740,-1.62%,0%,,,1000.00,,1000.00,,,,146
145,SPY,3d,PUT,Lu,2025-05-05T21:40:15.000,2025-05-05T21:40:15.000,00h 00m,,,,,1,30,60,30,100.00%,2740,-1.62%,1.11%,,,1000.00,,1000.00,,,,145
144,SPY,3d,PUT,Lu,2025-05-05T21:39:12.000,2025-05-05T21:39:12.000,00h 00m,,,,,1,30,60,30,100.00%,2710,-2.69%,1.12%,,,1000.00,,1000.00,,,,144
143,SPY,3d,CALL,Lu,2025-05-05T21:37:50.000,2025-05-05T21:37:50.000,00h 00m,,,,,1,30,0,-30,-100.00%,2680,-3.77%,-1.11%,,,1000.00,,1000.00,,,,143
142,SPY,3d,PUT,Lu,2025-05-05T21:37:32.000,2025-05-05T21:37:32.000,00h 00m,,,,,1,30,15,-15,-50.00%,2710,-2.69%,-0.55%,,,1000.00,,1000.00,,,,142
141,SPY,3d,CALL,Lu,2025-05-05T21:37:16.000,2025-05-05T21:37:16.000,00h 00m,,,,,1,30,0,-30,-100.00%,2725,-2.15%,-1.09%,,,1000.00,,1000.00,,,,141
140,SPY,3d,CALL,Lu,2025-05-05T21:33:19.000,2025-05-05T21:33:19.000,00h 00m,,,,,1,30,30,0,0.00%,2755,-1.08%,0%,,,1000.00,,1000.00,,,,140
139,SPY,3d,CALL,Lu,2025-05-05T21:32:20.000,2025-05-05T21:32:20.000,00h 00m,,,,,1,30,30,0,0.00%,2755,-1.08%,0%,,,1000.00,,1000.00,,,,139
138,SPY,3d,CALL,Lu,2025-05-05T21:31:14.000,2025-05-05T21:31:14.000,00h 00m,,,,,1,30,60,30,100.00%,2755,-1.08%,1.10%,,,1000.00,,1000.00,,,,138
137,SPY,3d,PUT,Lu,2025-05-05T21:31:05.000,2025-05-05T21:31:05.000,00h 00m,,,,,1,30,0,-30,-100.00%,2725,-2.15%,-1.09%,,,1000.00,,1000.00,,,,137
136,SPY,3d,PUT,Sa,2025-05-03T21:23:15.000,2025-05-03T21:23:15.000,00h 00m,,,,,1,30,0,-30,-100.00%,2755,-1.08%,-1.08%,,,1000.00,,1000.00,,,,136
135,SPY,3d,CALL,Sa,2025-05-03T21:17:02.000,2025-05-03T21:17:02.000,00h 00m,,,,,1,30,30,0,0.00%,2785,0.00%,0%,,,1000.00,,1000.00,,,,135
134,SPY,3d,PUT,Sa,2025-05-03T21:16:44.000,2025-05-03T21:16:44.000,00h 00m,,,,,1,30,60,30,100.00%,2785,1.09%,1.09%,,,1000.00,,1000.00,,,,134
133,SPY,3d,CALL,Sa,2025-05-03T21:12:58.000,2025-05-03T21:12:58.000,00h 00m,,,,,1,30,60,30,100.00%,2755,0.00%,1.10%,,,1000.00,,1000.00,,,,133
132,SPY,3d,CALL,Sa,2025-05-03T21:12:51.000,2025-05-03T21:12:51.000,00h 00m,,,,,1,30,15,-15,-50.00%,2725,-0.55%,-0.55%,,,1000.00,,1000.00,,,,132
131,SPY,3d,CALL,Sa,2025-05-03T21:09:37.000,2025-05-03T21:09:37.000,00h 00m,,,,,1,30,60,30,100.00%,2740,1.11%,1.11%,0%,,1000.00,,1000.00,,,,131
130,SPY,3d,CALL,Sa,2025-05-03T16:52:11.000,2025-05-03T16:52:11.000,00h 00m,,,,,1,30,30,0,0.00%,2710,0.00%,0%,,,1000.00,,1000.00,,,,130
129,SPY,3d,CALL,Sa,2025-05-03T06:43:17.000,2025-05-03T06:43:17.000,00h 00m,,,,,1,30,60,30,100.00%,2710,1.68%,1.12%,,,1000.00,,1000.00,,,,129
128,SPY,3d,CALL,Sa,2025-05-03T06:42:29.000,2025-05-03T06:42:29.000,00h 00m,,,,,1,30,45,15,50.00%,2680,0.56%,0.56%,,,1000.00,,1000.00,,,,128
127,SPY,3d,PUT,Sa,2025-05-03T06:40:56.000,2025-05-03T06:40:56.000,00h 00m,,,,,1,30,30,0,0.00%,2665,0.00%,0%,,,1000.00,,1000.00,,,,127
126,SPY,3d,CALL,Sa,2025-05-03T06:39:00.000,2025-05-03T06:39:00.000,00h 00m,,,,,1,30,30,0,0.00%,2665,0.00%,0%,,,1000.00,,1000.00,,,,126
125,SPY,3d,CALL,Sa,2025-05-03T06:38:30.000,2025-05-03T06:38:30.000,00h 00m,,,,,1,30,30,0,0.00%,2665,0.00%,0%,,,1000.00,,1000.00,,,,125
124,SPY,3d,CALL,Sa,2025-05-03T06:34:19.000,2025-05-03T06:34:19.000,00h 00m,,,,,1,30,45,15,50.00%,2665,0.57%,0.57%,,,1000.00,,1000.00,,,atento con la formacion de las velas como van de menos a mas en volumen o de mas a menos  esto pudiera esr haablando de la fierza del precio ,124
123,SPY,3d,CALL,Sa,2025-05-03T06:26:29.000,2025-05-03T06:26:29.000,00h 00m,,,,,1,30,30,0,0.00%,2650,0.00%,0%,,,1000.00,,1000.00,,,En una subidalas primeras  entras puedes ver que hau volumen en las velas luego ves que las velas pierden volumen puede ser señal  de que el precio aunque valla para arriba lo esta haciendo en forma de rango ,123
122,SPY,3d,CALL,Sa,2025-05-03T06:23:37.000,2025-05-03T06:23:37.000,00h 00m,,,,,1,30,60,30,100.00%,2650,2.30%,1.15%,,,1000.00,,1000.00,,,,122
121,SPY,3d,CALL,Sa,2025-05-03T06:21:46.000,2025-05-03T06:21:46.000,00h 00m,,,,,1,30,60,30,100.00%,2620,1.16%,1.16%,,,1000.00,,1000.00,,,,121
120,SPY,3d,CALL,Sa,2025-05-03T06:17:54.000,2025-05-03T06:17:54.000,00h 00m,,,,,1,30,30,0,0.00%,2590,0.00%,0%,,,1000.00,,1000.00,,,,120
119,SPY,3d,PUT,Sa,2025-05-03T06:17:22.000,2025-05-03T06:17:22.000,00h 00m,,,,,1,30,60,30,100.00%,2590,0.00%,1.17%,,,1000.00,,1000.00,,,,119
118,SPY,3d,PUT,Sa,2025-05-03T06:17:19.000,2025-05-03T06:17:19.000,00h 00m,,,,,1,30,60,30,100.00%,2560,-0.58%,1.19%,,,1000.00,,1000.00,,,,118
117,SPY,3d,CALL,Sa,2025-05-03T06:16:52.000,2025-05-03T06:16:52.000,00h 00m,,,,,1,30,0,-30,-100.00%,2530,-1.75%,-1.17%,,,1000.00,,1000.00,,,,117
116,SPY,3d,CALL,Sa,2025-05-03T06:14:41.000,2025-05-03T06:14:41.000,00h 00m,,,,,1,30,15,-15,-50.00%,2560,-0.58%,-0.58%,,,1000.00,,1000.00,,,,116
115,SPY,3d,CALL,Sa,2025-05-03T06:11:51.000,2025-05-03T06:11:51.000,00h 00m,,,,,1,30,30,0,0.00%,2575,0.00%,0%,,,1000.00,,1000.00,,,,115
114,SPY,3d,CALL,Sa,2025-05-03T06:08:38.000,2025-05-03T06:08:38.000,00h 00m,,,,,1,30,60,30,100.00%,2575,1.18%,1.18%,,,1000.00,,1000.00,,,,114
113,SPY,3d,CALL,Sa,2025-05-03T06:05:16.000,2025-05-03T06:05:16.000,00h 00m,,,,,1,30,45,15,50.00%,2545,0.00%,0.59%,,,1000.00,,1000.00,,,,113
112,SPY,3d,CALL,Sa,2025-05-03T05:49:16.000,2025-05-03T05:49:16.000,00h 00m,,,,,1,30,30,0,0.00%,2530,-0.59%,0%,,,1000.00,,1000.00,,,,112
111,SPY,3d,CALL,Sa,2025-05-03T05:46:46.000,2025-05-03T05:46:46.000,00h 00m,,,,,1,30,15,-15,-50.00%,2530,-0.59%,-0.59%,,,1000.00,,1000.00,,,,111
110,SPY,3d,CALL,Sa,2025-05-03T05:43:43.000,2025-05-03T05:43:43.000,00h 00m,,,,,1,30,30,0,0.00%,2545,0.00%,0%,,,1000.00,,1000.00,,,,110
109,SPY,3d,CALL,Vi,2025-05-02T23:33:06.000,2025-05-02T23:33:06.000,00h 00m,,,,,1,30,60,30,100.00%,2545,2.40%,1.19%,,,1000.00,,1000.00,,,,109
108,SPY,3d,PUT,Vi,2025-05-02T23:28:32.000,2025-05-02T23:28:32.000,00h 00m,,,,,1,30,60,30,100.00%,2515,1.21%,1.21%,,,1000.00,,1000.00,,,,108
107,SPY,3d,PUT,Vi,2025-05-02T23:26:59.000,2025-05-02T23:26:59.000,00h 00m,,,,,1,30,60,30,100.00%,2485,0.00%,1.22%,,,1000.00,,1000.00,,,,107
106,SPY,3d,CALL,Ju,2025-05-01T13:02:46.617,2025-05-01T13:02:46.617,00h 00m,,,,,1,30,30,0,0.00%,2455,-0.61%,0%,,,1000.00,,1000.00,,,,106
105,SPY,3d,CALL,Ju,2025-05-01T13:02:44.304,2025-05-01T13:02:44.304,00h 00m,,,,,1,30,15,-15,-50.00%,2455,-0.61%,-0.61%,,,1000.00,,1000.00,,,,105
104,SPY,3d,CALL,Ju,2025-05-01T03:44:28.730,2025-05-01T03:44:28.730,00h 00m,,,,,1,30,60,30,100.00%,2470,2.47%,1.23%,,,1000.00,,1000.00,,,,104
103,SPY,3d,PUT,Ju,2025-05-01T03:44:24.781,2025-05-01T03:44:24.781,00h 00m,,,,,1,30,60,30,100.00%,2440,1.24%,1.24%,,,1000.00,,1000.00,,,,103
102,SPY,3d,CALL,Ju,2025-05-01T03:41:38.875,2025-05-01T03:41:38.875,00h 00m,,,,,1,30,30,0,0.00%,2410,0.00%,0%,,,1000.00,,1000.00,,,,102
101,SPY,3d,PUT,Ju,2025-05-01T03:41:30.433,2025-05-01T03:41:30.433,00h 00m,,,,,1,30,60,30,100.00%,2410,9.18%,1.26%,,,1000.00,,1000.00,,,,101
100,SPY,3d,PUT,Ju,2025-05-01T03:41:25.334,2025-05-01T03:41:25.334,00h 00m,,,,,1,30,60,30,100.00%,2380,7.92%,1.28%,,,1000.00,,1000.00,,,,100
99,SPY,3d,CALL,Ju,2025-05-01T03:41:16.615,2025-05-01T03:41:16.615,00h 00m,,,,,1,30,60,30,100.00%,2350,6.64%,1.29%,,,1000.00,,1000.00,,,,99
98,SPY,3d,CALL,Ju,2025-05-01T03:41:13.183,2025-05-01T03:41:13.183,00h 00m,,,,,1,30,60,30,100.00%,2320,5.35%,1.31%,,,1000.00,,1000.00,,,,98
97,SPY,3d,CALL,Ju,2025-05-01T03:41:09.240,2025-05-01T03:41:09.240,00h 00m,,,,,1,30,60,30,100.00%,2290,4.04%,1.33%,,,1000.00,,1000.00,,,,97
96,SPY,3d,PUT,Ju,2025-05-01T03:41:03.230,2025-05-01T03:41:03.230,00h 00m,,,,,1,30,60,30,100.00%,2260,2.71%,1.35%,,,1000.00,,1000.00,,,,96
95,SPY,3d,PUT,Ju,2025-05-01T03:41:00.233,2025-05-01T03:41:00.233,00h 00m,,,,,1,30,60,30,100.00%,2230,1.36%,1.36%,,,1000.00,,1000.00,,,,95
94,SPY,3d,CALL,Ju,2025-05-01T03:40:50.423,2025-05-01T03:40:50.423,00h 00m,,,,,1,30,60,30,100.00%,2200,0.00%,1.38%,,,1000.00,,1000.00,,,,94
93,SPY,3d,CALL,Ju,2025-05-01T03:40:46.314,2025-05-01T03:40:46.314,00h 00m,,,,,1,30,45,15,50.00%,2170,-0.69%,0.70%,,,1000.00,,1000.00,,,,93
